year,meangrass,meanshrub
1927,0.109023112,0.000227954
1932,0.137716781,0.000625182
1937,0.096728915,0.001267289
1942,0.099530642,0.001818281
1947,0.075268861,0.006258869
1952,0.034489792,0.008271817
1957,0.031501165,0.020384451
1962,0.039434752,0.021724177
1967,0.044936577,0.032763768
1972,0.063034699,0.035429639
1977,0.093582561,0.029626169
1995,0.049367633,0.10508826
2001,0.051295825,0.125693242
2006,0.036377632,0.138910563
2011,0.026201668,0.128296736
2016,0.01404482,0.155181875
