quad1,quad2,dist
T7,T8,935.6876825
A1,A2,939.7835915
K4,PSG4,951.7651127
G3,T7,953.5769583
A1,AR4,953.9919703
K4,PSG3,958.080611
I4,I5,970.1953324
U2,U4,981.715411
S4,S6,1004.554412
K4,PSG2,1021.337974
S3,S6,1021.598913
T1,T3,1021.72301
N1,U5,1027.232135
L4,Y7,1028.174758
G6,T7,1032.061261
K4,PSG1,1037.107148
MG1,MG2,1056.089753
MG4,MG6,1060.44621
MG1,MG6,1086.54598
T4,T5,1087.911504
K4,PSG14,1099.624542
N4,U5,1105.81789
J22,L3,1122.597685
J22,L3A,1122.597685
U1,U3,1124.935418
MG3,T11,1150.157556
A1,AR5,1162.793319
A1,AR6,1164.323892
L4,Y3,1169.382531
G1,K1,1176.083254
L3,Y7,1179.150335
L3A,Y7,1179.150335
MG2,MG4,1187.188431
G5,T9,1194.344985
J22,L2,1196.398186
J9,L3,1200.54992
J9,L3A,1200.54992
P4,P5,1214.867635
MG5,MG6,1229.953882
L3,R1,1235.723629
L3A,R1,1235.723629
K1,L1,1235.870262
I3,I5,1236.871739
J8,N3A,1238.048867
N5,U5,1269.610799
J12,J8,1271.972384
J8,U1,1273.018079
L3,Y3,1294.840696
L3A,Y3,1294.840696
J1,J8,1297.580632
J8,N3,1298.552728
I5,I6,1304.712795
G2,T9,1305.730087
J9,L2,1315.171942
MG6,MG7,1315.842574
B1,B3,1348.909918
MG2,MG5,1349.904512
L2,R1,1376.309521
N5,N6,1386.700221
T7,T9,1392.13039
K1,PSG14,1410.645575
MG3,MG5,1418.770968
K1,PSG1,1420.830995
I5,I7,1424.318256
K1,PSG2,1437.735351
MG2,MG7,1438.370157
V4,V6,1444.386555
G1,I1,1453.841776
I3,J9,1456.1157
V2,V5,1456.931212
AR4,B1,1457.238967
I3,R1,1460.365808
MG3,MG7,1468.361268
I2,J22,1471.800958
L5,Y7,1477.831375
I3,J22,1478.716514
I2,L1,1482.945634
R2,R4,1484.182864
I2,I4,1484.227765
K1,T7,1491.599973
P1,P5,1500.822174
K1,PSG3,1501.308191
K1,PSG4,1504.814416
I2,J9,1508.617669
I1,I3,1510.190321
A3,A5,1513.601649
T10,T9,1515.737541
J8,N6,1523.24154
B2,B4,1529.798116
V3,V6,1532.131454
MG1,MG5,1534.312475
B3,B5,1535.820823
G1,G3,1540.524102
K1,PSG5,1540.917438
I2,R1,1542.984222
A2,A4,1545.358685
H1,H3,1548.778861
K1,PSG6,1550.918575
V1,V2,1551.210044
G5,G6,1560.825247
K1,PSG13,1570.462683
I1,L2,1580.935993
N3,R4,1583.585762
U3,U5,1585.081626
P1,P3,1586.17752
L5,Y3,1586.190368
M5,Y1,1590.040267
N5,U4,1596.290502
M5,Y2,1601.413773
P2,P4,1601.760319
G1,T8,1602.144641
G2,G4,1620.48205
G1,G6,1622.123355
M6,Y1,1622.540623
K1,PSG7,1623.5057
A2,AR4,1626.663667
K2,K4,1626.737683
J1,U2,1627.402762
R1,R2,1628.126611
MG2,T11,1628.344552
N3A,R4,1631.607912
T2,T4,1632.207138
M6,Y2,1633.751662
K1,PSG8,1638.800283
MG6,T11,1642.05583
G3,G5,1642.361948
J12,U2,1642.757881
B2A,B4,1642.843517
MG1,MG7,1647.259762
J22,L4,1648.215182
T3,T5,1650.388952
K1,K3,1657.121896
MG1,MG3,1662.641198
G5,T8,1664.324214
G4,T10,1668.48749
N1,U4,1669.018694
J9,L4,1672.604635
L4,R1,1676.924002
