"year","month","ppt_6mo","ppt_yr"
2005,11,115.56,261.86
2005,12,115.56,244.84
2006,1,92.2,214.1
2006,2,63.75,162.04
2006,3,38.61,156.96
2006,4,4.82,150.1
2006,5,25.39,140.95
2006,6,35.3,150.86
2006,7,62.48,154.68
2006,8,225.29,289.04
2006,9,310.37,348.98
2006,10,397.48,402.3
2006,11,380.47,405.86
2006,12,377.16,412.46
2007,1,362.17,424.65
2007,2,208,433.29
2007,3,124.7,435.07
2007,4,34.8,432.28
2007,5,77.21,457.68
2007,6,84.07,461.23
2007,7,136.39,498.56
2007,8,187.44,395.44
2007,9,223.51,348.21
2007,10,225.03,259.83
2007,11,198.36,275.57
2007,12,194.3,278.37
2008,1,131.82,268.21
2008,2,70.86,258.3
2008,3,33.01,256.52
2008,4,31.49,256.52
2008,5,19.3,217.66
2008,6,10.15,204.45
2008,7,187.43,319.25
2008,8,223.25,294.11
2008,9,284.21,317.22
2008,10,293.1,324.59
2008,11,293.61,312.91
2008,12,300.72,310.87
2009,1,120.65,308.08
2009,2,84.83,308.08
2009,3,24.37,308.58
2009,4,15.48,308.58
2009,5,28.44,322.05
2009,6,27.69,328.41
2009,7,73.91,194.56
2009,8,85.85,170.68
2009,9,127.27,151.64
2009,10,146.32,161.8
2009,11,125.74,154.18
2009,12,148.6,176.29
2010,1,115.84,189.75
2010,2,118.38,204.23
2010,3,79,206.27
2010,4,66.05,212.37
2010,5,66.05,191.79
2010,6,39.12,187.72
2010,7,89.67,205.51
2010,8,108.22,226.6
2010,9,124.48,203.48
2010,10,127.27,193.32
2010,11,127.27,193.32
2010,12,126.25,165.37
2011,1,62.24,151.91
2011,2,31.75,139.97
2011,3,12.95,137.43
2011,4,4.06,131.33
2011,5,4.06,131.33
2011,6,7.11,133.36
2011,7,29.96,92.2
2011,8,94.99,126.74
2011,9,107.69,120.64
2011,10,111.25,115.31
2011,11,119.38,123.44
2011,12,167.13,174.24
2012,1,154.45,184.41
2012,2,88.4,183.39
2012,3,77.48,185.17
2012,4,73.92,185.17
2012,5,77.22,196.6
2012,6,24.9,192.03
2012,7,44.7,199.15
2012,8,58.67,147.07
2012,9,75.43,152.91
2012,10,75.43,149.35
2012,11,64.76,141.98
2012,12,73.91,98.81
2013,1,48,92.7
2013,2,32.76,91.43
2013,3,14.22,89.65
2013,4,14.22,89.65
2013,5,14.48,79.24
2013,6,6.35,80.26
2013,7,79.01,127.01
2013,8,143.52,176.28
2013,9,216.68,230.9
2013,10,217.19,231.41
2013,11,216.42,230.9
2013,12,220.73,227.08
2014,1,144.01,223.02
2014,2,79.25,222.77
2014,3,14.72,231.4
2014,4,14.21,231.4
2014,5,13.96,230.38
2014,6,9.9,230.63
2014,7,57.9,201.91
2014,8,114.78,194.03
2014,9,169.65,184.37
2014,10,184.64,198.85
2014,11,195.05,209.01
2014,12,197.59,207.49
2015,1,191.24,249.14
2015,2,146.8,261.58
2015,3,92.69,262.34
2015,4,82.02,266.66
2015,5,113.78,308.83
2015,6,112,309.59
2015,7,178.06,369.3
2015,8,203.72,350.52
2015,9,196.36,289.05
2015,10,232.68,314.7
2015,11,196.1,309.88
2015,12,200.93,312.93
2016,1,100.33,278.39
2016,2,64.01,267.73
2016,3,61.98,258.34
2016,4,27.94,260.62
2016,5,30.73,226.83
2016,6,29.46,230.39
2016,7,23.37,123.7
2016,8,49.28,113.29
2016,9,93.73,155.71
2016,10,87.13,115.07
2016,11,82.56,113.29
2016,12,105.17,134.63
2017,1,146.82,170.19
2017,2,134.12,183.4
2017,3,90.43,184.16
2017,4,93.99,181.12
2017,5,98.56,181.12
2017,6,106.68,211.85
2017,7,120.67,267.49
2017,8,215.15,349.27
2017,9,233.95,324.38
2017,10,235.47,329.46
