year,month,soi
1988,9,1.92
1988,10,1.35
1988,11,1.92
1988,12,1.09
1989,1,1.31
1989,2,0.8
1989,3,0.59
1989,4,2.18
1989,5,1.45
1989,6,0.81
1989,7,0.95
1989,8,-0.82
1989,9,0.52
1989,10,0.61
1989,11,-0.38
1989,12,-0.62
1990,1,-0.21
1990,2,-1.79
1990,3,-1.09
1990,4,-0.01
1990,5,1.41
1990,6,-0.07
1990,7,0.57
1990,8,-0.71
1990,9,-0.78
1990,10,-0.17
1990,11,-0.68
1990,12,-0.38
1991,1,0.45
1991,2,-0.06
1991,3,-1.35
1991,4,-1.55
1991,5,-1.74
1991,6,-0.79
1991,7,-0.07
1991,8,-1.07
1991,9,-1.64
1991,10,-1.55
1991,11,-0.77
1991,12,-2.02
1992,1,-2.85
1992,2,-1.05
1992,3,-2.85
1992,4,-2.06
1992,5,0.06
1992,6,-1.82
1992,7,-0.63
1992,8,-0.01
1992,9,0.06
1992,10,-2.03
1992,11,-0.84
1992,12,-0.71
1993,1,-0.93
1993,2,-0.96
1993,3,-1.13
1993,4,-2.29
1993,5,-0.59
1993,6,-2.18
1993,7,-1.06
1993,8,-1.73
1993,9,-0.78
1993,10,-1.57
1993,11,-0.13
1993,12,0.07
1994,1,-0.25
1994,2,-0.06
1994,3,-1.35
1994,4,-2.63
1994,5,-1.26
1994,6,-1.46
1994,7,-1.7
1994,8,-2.03
1994,9,-1.7
1994,10,-1.58
1994,11,-0.81
1994,12,-1.41
1995,1,-0.51
1995,2,-0.35
1995,3,0.24
1995,4,-1.72
1995,5,-0.91
1995,6,-0.31
1995,7,0.44
1995,8,-0.11
1995,9,0.28
1995,10,-0.34
1995,11,-0.02
1995,12,-0.72
1996,1,0.82
1996,2,-0.02
1996,3,0.53
1996,4,0.91
1996,5,0.46
1996,6,1.6
1996,7,0.7
1996,8,0.33
1996,9,0.66
1996,10,0.26
1996,11,-0.21
1996,12,0.71
1997,1,0.29
1997,2,1.21
1997,3,-1.09
1997,4,-1.55
1997,5,-2.41
1997,6,-3.02
1997,7,-0.91
1997,8,-2.31
1997,9,-1.55
1997,10,-1.69
1997,11,-1.31
1997,12,-1.12
1998,1,-2.53
1998,2,-1.97
1998,3,-3.31
1998,4,-2.8
1998,5,0.17
1998,6,1.05
1998,7,1.49
1998,8,0.83
1998,9,1.04
1998,10,1.01
1998,11,1.01
1998,12,1.32
1999,1,1.58
1999,2,0.58
1999,3,0.78
1999,4,2.1
1999,5,0.44
1999,6,0
1999,7,0.52
1999,8,-0.03
1999,9,-0.07
1999,10,0.95
1999,11,1.22
1999,12,1.37
2000,1,0.47
2000,2,1.24
2000,3,0.88
2000,4,1.76
2000,5,0.42
2000,6,-0.87
2000,7,-0.34
2000,8,0.48
2000,9,0.97
2000,10,0.87
2000,11,2.02
2000,12,0.77
2001,1,0.78
2001,2,1
2001,3,0.46
2001,4,-0.18
2001,5,-0.84
2001,6,-0.19
2001,7,-0.27
2001,8,-1.01
2001,9,0.11
2001,10,-0.38
2001,11,0.64
2001,12,-1.06
2002,1,0.2
2002,2,0.64
2002,3,-0.81
2002,4,-0.48
2002,5,-1.54
2002,6,-1.02
2002,7,-0.7
2002,8,-1.62
2002,9,-0.66
2002,10,-0.79
2002,11,-0.6
2002,12,-1.3
2003,1,-0.3
2003,2,-0.9
2003,3,-0.91
2003,4,-0.48
2003,5,-0.85
2003,6,-1.75
2003,7,0.26
2003,8,-0.35
2003,9,-0.18
2003,10,-0.26
2003,11,-0.32
2003,12,0.92
2004,1,-1.31
2004,2,0.77
2004,3,-0.11
2004,4,-1.91
2004,5,1.22
2004,6,-1.91
2004,7,-0.72
2004,8,-0.9
2004,9,-0.31
2004,10,-0.42
2004,11,-1.06
2004,12,-0.94
2005,1,0.2
2005,2,-2.99
2005,3,-0.26
2005,4,-1.22
2005,5,-1.46
2005,6,0.11
2005,7,0.06
2005,8,-0.97
2005,9,0.34
2005,10,1.12
2005,11,-0.42
2005,12,0.01
2006,1,1.29
2006,2,-0.12
2006,3,1.32
2006,4,1.17
2006,5,-0.96
2006,6,-0.98
2006,7,-0.9
2006,8,-1.75
2006,9,-0.6
2006,10,-1.52
2006,11,0.05
2006,12,-0.39
2007,1,-0.83
2007,2,-0.38
2007,3,-0.3
2007,4,-0.35
2007,5,-0.3
2007,6,0.14
2007,7,-0.44
2007,8,0.01
2007,9,0.12
2007,10,0.44
2007,11,0.82
2007,12,1.49
2008,1,1.54
2008,2,2.05
2008,3,1.04
2008,4,0.56
2008,5,-0.25
2008,6,0.34
2008,7,0.2
2008,8,0.64
2008,9,1.26
2008,10,1.52
2008,11,1.64
2008,12,1.43
2009,1,0.85
2009,2,1.37
2009,3,-0.21
2009,4,1.06
2009,5,-0.86
2009,6,-0.45
2009,7,0.18
2009,8,-0.59
2009,9,0.35
2009,10,-1.66
2009,11,-0.67
2009,12,-0.95
2010,1,-1.13
2010,2,-1.59
2010,3,-1.4
2010,4,1.88
2010,5,0.85
2010,6,0.24
2010,7,1.95
2010,8,1.77
2010,9,2.44
2010,10,1.8
2010,11,1.62
2010,12,2.9
2011,1,2.01
2011,2,2.12
2011,3,2.09
2011,4,3.02
2011,5,0.46
2011,6,-0.04
2011,7,1.11
2011,8,0.07
2011,9,1.14
2011,10,0.91
2011,11,1.41
2011,12,2.45
2012,1,0.9
2012,2,0.22
2012,3,0.2
2012,4,-0.65
2012,5,-0.38
2012,6,-1.51
2012,7,-0.15
2012,8,-0.74
2012,9,0.22
2012,10,0.17
2012,11,0.33
2012,12,-0.77
2013,1,-0.1
2013,2,-0.47
2013,3,1.06
2013,4,0.01
2013,5,0.9
2013,6,1.45
2013,7,0.76
2013,8,-0.23
2013,9,0.41
2013,10,-0.34
2013,11,0.75
2013,12,-0.05
2014,1,1.19
2014,2,-0.32
2014,3,-1.7
2014,4,0.81
2014,5,0.72
2014,6,-0.46
2014,7,-0.26
2014,8,-1.42
2014,9,-0.66
2014,10,-0.86
2014,11,-0.96
2014,12,-0.66
2015,1,-0.87
2015,2,-0.04
2015,3,-1.4
2015,4,-0.27
2015,5,-1.04
2015,6,-1.72
2015,7,-1.41
2015,8,-2.15
2015,9,-1.65
2015,10,-1.91
2015,11,-0.63
2015,12,-1
2016,1,-2.12
2016,2,-2.09
2016,3,-0.75
2016,4,-2.61
2016,5,0.22
2016,6,0.44
2016,7,0.45
2016,8,0.4
2016,9,1.28
2016,10,-0.66
2016,11,-0.23
2016,12,0.19
2017,1,0.08
2017,2,-0.33
2017,3,0.41
2017,4,-0.75
2017,5,0.23
2017,6,-1.39
2017,7,0.85
2017,8,0.17
2017,9,0.62
2017,10,0.75
2017,11,0.94
2017,12,-0.27
2018,1,0.86
2018,2,-0.73
2018,3,0.91
2018,4,0.58
2018,5,0.43
2018,6,-0.84
2018,7,0.11
2018,8,-0.87
2018,9,-0.93
2018,10,0.32
2018,11,0.03
2018,12,0.98
2019,1,-0.16
2019,2,-1.43
2019,3,-1.03
2019,4,-0.03
2019,5,-0.78
2019,6,-1.46
2019,7,-0.7
2019,8,-0.7
2019,9,-1.26
2019,10,-0.68
2019,11,-0.91
2019,12,-0.56
2020,1,0.06
2020,2,-0.27
2020,3,-0.75
2020,4,-0.01
2020,5,0.71
2020,6,-1.45
2020,7,0.37
2020,8,0.92
2020,9,0.98
2020,10,0.27
