"water_yr","yearly_ppt_mm","yearly_maxt","yearly_mint","yearly_vpd","summer_ppt_mm","summer_maxt","summer_vpd","winter_ppt_mm","winter_maxt","winter_vpd"
1985,380.47,24.11952124936,4.29639016897081,26.415,180.32,33.2393548387097,40.662,200.15,17.6053543998244,16.2385714285714
1986,309.13,24.9762288786482,4.9318612391193,25.8891666666667,212.36,31.6694623655914,35.07,96.77,20.195347816546,19.3314285714286
1987,341.37,23.3410074244752,3.8048579109063,24.6375,184.65,31.4266666666667,37.246,156.72,17.5655365371955,15.6314285714286
1988,279.65,23.7768268301017,3.83763028879825,25.4016666666667,168.14,31.1869576217584,35.542,111.51,18.4838762646327,18.1585714285714
1989,266.67,25.4297799623439,4.84296420425453,29.0333333333333,179.04,32.5683759733037,40.334,87.63,20.3307828116584,20.9614285714286
1990,242.06,24.3811315924219,4.55421146953405,26.6233333333333,164.31,31.7449462365591,36.998,77.75,19.1212639894668,19.2128571428571
1991,328.89,23.5989951356887,4.64066820276498,24.7316666666667,244.83,30.7232258064516,34.942,84.06,18.5102589422866,17.4385714285714
1992,390.65,23.6410054381411,4.52560870102583,25.7866666666667,185.91,31.5576344086022,37.724,204.74,17.9862704592404,17.26
1993,293.62,24.2456477214542,4.98001152073733,27.035,160.01,32.2597849462366,39.25,133.61,18.5212639894668,18.31
1994,187.2,25.4496055778221,5.00260805657079,29.7216666666667,112.53,34.2698389156676,44.704,74.67,19.1494389079325,19.02
1995,276.09,24.8668794225519,5.75668452340534,27.6316666666667,156.96,32.8529717936731,40.686,119.13,19.1625277288939,18.3071428571429
1996,271.28,26.1518702136518,5.53900154496419,29.2575,243.85,33.4875376475376,39.864,27.43,20.9121077608762,21.6814285714286
1997,375.94,24.7204219660097,5.18006267496905,27.1766666666667,297.2,32.7884890913478,39.544,78.74,18.9575168764824,18.3428571428571
1998,187.71,24.7477148330597,4.28108990147783,27.2375,99.07,33.7566666666667,41.802,88.64,18.3127492376261,16.8342857142857
1999,329.96,25.224345001001,5.5490241026479,26.8066666666667,227.33,31.9985695463956,36.43,102.63,20.385613182862,19.9328571428571
2000,243.59,26.7445204868231,4.80204336599073,30.6133333333333,196.59,34.2069696969697,43.134,47,21.4141996224327,21.67
2001,251.2,25.0909471034791,4.57921859565082,27.1825,117.86,33.9479831932773,41.446,133.34,18.7644927536232,16.9942857142857
2002,209.29,25.9894372880731,4.33334945820433,30.0591666666667,172.47,33.6879385964912,43.486,36.82,20.4905077820602,20.4685714285714
2003,175.79,25.536142926648,4.41435123676172,28.9,56.38,34.0945012787724,44.406,119.41,19.4230298179878,17.8242857142857
2004,345.16,25.0984607876437,4.33702479621322,28.2525,220.47,32.4298686868687,40.73,124.69,19.8617408596258,19.34
2005,295.13,24.5104838807319,5.55248899586207,27.2783333333333,108.7,33.8005230467473,43.11,186.43,17.8747416192923,15.97
2006,348.98,25.4397998839703,4.70917075581316,28.53,307.58,31.8341935483871,38.492,41.4,20.8723758379584,21.4142857142857
2007,348.21,24.5023389637615,4.71595062750965,26.7033333333333,223.51,32.4007044864664,38.686,124.7,18.8606493046866,18.1442857142857
2008,317.22,24.8612713438002,3.9485956191015,27.7075,284.21,31.6440044493882,37.274,33.01,20.016461982666,20.8742857142857
2009,154.18,26.0584804446642,4.23897737884343,29.28,127.27,32.842965729117,41.462,26.91,21.2124195271979,20.5785714285714
2010,203.48,23.5661698952204,3.99338900421878,27.0825,118.38,32.3782153660012,41.158,85.1,17.2718517018056,17.0285714285714
2011,120.64,25.795904654986,3.23706245209022,31.7183333333333,107.69,33.9563891095927,46.236,12.95,19.9669871874099,21.3485714285714
2012,152.91,24.6756153008152,4.08784824764184,29.7366666666667,75.43,32.955400474366,43.964,77.48,18.7614830339932,19.5742857142857
2013,230.9,24.3206440136307,3.72232241324983,28.5925,216.68,32.1009523809524,39.94,14.22,18.7632808941152,20.4871428571429
2014,184.37,24.5026178760437,4.62882901662482,27.4608333333333,169.65,32.2205875633612,38.722,14.72,18.9897823851026,19.4171428571429
2015,289.05,26.4019378810237,8.50243631413591,27.6225,192.04,33.0862894691927,40.718,97.01,21.6274010323316,18.2685714285714
2016,155.71,25.4156592897277,5.43570737032917,28.6233333333333,87.13,33.3748146699426,41.576,68.58,19.7305483038599,19.3714285714286
