quadrat,vegtype,upland_byspecies,upland_bysoil,NAD 27 X,NAD 27 Y,NAD27 UTM,WGS84 UTM,WGS84 Lat Lon degrees decimal minutes
MG2,SCBR,lowland,upland,335351.1,3615390,13 S 335351.1 3615390,13 S 335301 3615594,N32 39.944 W106 45.382
MG3,PLMU,lowland,upland,334847.1,3615764,13 S 334847.1 3615764,13 S 334797 3615968,N32 40.142 W106 45.708
MG4,SCBR,lowland,,335249.3,3616572,13 S 335249.3 3616572,13 S 335199 3616776,N32 40.583 W106 45.459
MG5,SCBR,lowland,,336020.8,3616562,13 S 336020.8 3616562,13 S 335971 3616766,N32 40.584 W106 44.966
MG6,SCBR,lowland,,335368,3615519,13 S 335368 3615519,13 S 335318 3615723,N32 40.014 W106 45.372
MG7,SPNE,,,336001,3616672,13 S 336001 3616672,13 S 335951 3616876,N32 40.644 W106 44.980
N1,BOER,upland,upland,336318.3,3601662,13 S 336318.3 3601662,13 S 336268 3601866,N32 32.526 W106 44.619
N3,BOER,upland,upland,337228.6,3604407,13 S 337228.6 3604407,13 S 337179 3604611,N32 34.019 W106 44.066
N3A,BOER,upland,upland,337172.2,3604426,13 S 337172.2 3604426,13 S 337122 3604630,N32 34.029 W106 44.103
N4,BOER,upland,upland,336378.9,3601590,13 S 336378.9 3601590,13 S 336329 3601794,N32 32.487 W106 44.580
N5,BOER,upland,upland,336517.2,3602385,13 S 336517.2 3602385,13 S 336467 3602589,N32 32.919 W106 44.500
N6,BOER,upland,upland,336941.1,3603706,13 S 336941.1 3603706,13 S 336891 3603910,N32 33.637 W106 44.243
P1,PLMU,lowland,upland,343234.6,3604506,13 S 343234.6 3604506,13 S 343185 3604710,N32 34.125 W106 40.230
P2,PLMU,lowland,,342943.6,3603821,13 S 342943.6 3603821,13 S 342894 3604025,N32 33.751 W106 40.409
P3,PLMU,lowland,,342844.3,3602970,13 S 342844.3 3602970,13 S 342794 3603174,N32 33.290 W106 40.464
P4,PLMU,lowland,,342693.3,3602238,13 S 342693.3 3602238,13 S 342643 3602442,N32 32.893 W106 40.553
P5,PLMU,lowland,,342253.8,3603370,13 S 342253.8 3603370,13 S 342204 3603574,N32 33.502 W106 40.845
PBR1,BOER,upland,upland,330917,3609825,13 S 330917 3609825,13 S 330867 3610029,N32 36.893 W106 48.157
PBR2,BOER,upland,upland,330784.5,3609794,13 S 330784.5 3609794,13 S 330734 3609998,N32 36.875 W106 48.242
PBR3,,,,,,,,
PBR4,,,,,,,,
PSG1,,,upland,337971.8,3611956,13 S 337971.8 3611956,13 S 337922 3612160,N32 38.110 W106 43.670
PSG10,,,upland,338123.6,3612190,13 S 338123.6 3612190,13 S 338074 3612394,N32 38.238 W106 43.575
PSG11,,,upland,338145.2,3612201,13 S 338145.2 3612201,13 S 338095 3612405,N32 38.244 W106 43.562
PSG12,,,upland,338147.3,3612246,13 S 338147.3 3612246,13 S 338097 3612450,N32 38.268 W106 43.561
PSG13,,,upland,337918.5,3612160,13 S 337918.5 3612160,13 S 337869 3612364,N32 38.220 W106 43.706
PSG14,,,upland,338110.8,3611840,13 S 338110.8 3611840,13 S 338061 3612044,N32 38.048 W106 43.580
PSG2,,,upland,337986.3,3611968,13 S 337986.3 3611968,13 S 337936 3612172,N32 38.116 W106 43.661
PSG3,,,upland,338017.4,3612022,13 S 338017.4 3612022,13 S 337967 3612226,N32 38.146 W106 43.641
PSG4,,,,338003.8,3612036,13 S 338003.8 3612036,13 S 337954 3612240,N32 38.153 W106 43.650
PSG5,,,upland,338033.8,3612059,13 S 338033.8 3612059,13 S 337984 3612263,N32 38.166 W106 43.631
PSG6,,,upland,338027.5,3612076,13 S 338027.5 3612076,13 S 337978 3612280,N32 38.175 W106 43.636
