"quadrat","slope_95","pvalue_95","significant_95","slope_60","pvalue_60","significant_60","slope_50","pvalue_50","significant_50"
"T1",0.000887747194769478,0.194106324155282,"0",0.0102574433118164,0.536186771900174,"0",NA,NA,NA
"T10",-0.00598175670332801,0.448053753792816,"0",0.0354755138095238,0.0164886567276701,"2",NA,NA,NA
"T11",-0.00672066933476436,0.0410166753614755,"1",-0.0246894208333333,0.734095182319476,"0",NA,NA,NA
"T2",-0.00287578903734783,0.390720802957977,"0",0.00442327666427125,0.00609054605657882,"2",NA,NA,NA
"T3",-0.00740822230118473,0.209328507919337,"0",0.0127745062718723,0.00443400830310065,"2",NA,NA,NA
"T4",0.00159387484319602,0.784096319067946,"0",0.0534743964519823,0.107404636330254,"0",NA,NA,NA
"T5",-0.000423368109662021,0.556122943535332,"0",0.010971873125,0.0335241652350047,"2",NA,NA,NA
"T6",-0.00381192123776567,0.0378110210700066,"1",-0.00140650950000001,0.73170172322421,"0",NA,NA,NA
"T7",-0.0131238951645539,0.0687611620214148,"0",-0.0030938475,0.350201389179296,"0",NA,NA,NA
"T8",-0.0170566282576138,0.0775605996953897,"0",-0.01238021,0.371093369522698,"0",NA,NA,NA
"T9",-0.0206191277121592,0.026373155805616,"1",0.0103422119047619,0.465512169874187,"0",NA,NA,NA
"U1",-0.000248957919347545,0.306287935284477,"0",0.000212213636363636,0.626496274346911,"0",-0.00893376694444445,0.000278687684234069,"1"
"U2",7.29857157294943e-05,0.857880077450289,"0",0.000319788095238095,0.455535411940753,"0",-0.00996837833333333,0.000779269972417672,"1"
"U3",-0.000599486946755792,0.11291685443689,"0",0.00306963446428571,0.0349550726436306,"2",-0.0113489063888889,5.21491158244025e-05,"1"
"U4",-0.00197595654075445,0.118448857764229,"0",NA,NA,NA,-0.014313725,0.000187522756638263,"1"
"U5",0.000906413709076743,0.602759738301423,"0",0.00129269642857143,0.000128918753693737,"2",-0.0117793941666667,0.00249902885761126,"1"
"V1",-0.000118915042935918,0.162101088031074,"0",NA,NA,NA,-0.0108036666666667,0.0354981313206625,"1"
"V2",-0.000478894705018429,0.629161934288029,"0",-0.0020479,0.0190673604423967,"1",-0.02078446,0.0162609367804503,"1"
"V3",0,NA,NA,0,NA,NA,-0.004868556,0.0190673604423967,"1"
"V4",5.42230838339814e-21,0.999999999999995,"0",NA,NA,NA,-0.00464550666666667,0.548005572361309,"0"
"V5",0,NA,NA,0,NA,NA,-0.0106246,0.00686379498544904,"1"
"V6",1.33161805880661e-19,0.999999999999995,"0",0,NA,NA,-7.32e-05,0.057279388904385,"0"
"Y1",-0.00150686586586862,0.0482479124456053,"1",-0.00233035,0.247676267691893,"0",NA,NA,NA
"Y2",-0.00442213963000825,0.0881237266605808,"0",NA,NA,NA,NA,NA,NA
"Y3",-3.42159141224609e-05,0.155079684525223,"0",NA,NA,NA,NA,NA,NA
"Y7",-0.00673407424557806,0.0416735942726532,"1",NA,NA,NA,NA,NA,NA
