"quadrat","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1942"
"K1",0.092107775,0.06208961,0.068243595,0.072982175,0.096081145,NA,0.061018345,0.06835368,0.0842649,0.131578555,0.09679052,0.061727675,0.05171554
"K3",0.12026707,0.09652783,0.08046732,0.088960605,0.097343635,0.077119785,0.020830475,0.04033738,0.04774654,0.1348435,0.0577592,0.04206741,0.0339573
"L1",0.14233965,0.07504675,0.06002835,0.0656885,0.0699115,0.0195185,0.02918121,0.027775,0.031632,0.07055065,0.0412076,0.04130225,0.0263665
"L2",0.1461584,0.106774935,0.112409455,0.12328136,0.120576465,0.09816325,0.068366845,0.09567618,0.07586273,0.100734095,0.05802975,0.0520455,0.06537975
"L3",0.25364227,0.201294345,0.30023949,0.274378585,0.292107325,0.15631261,0.113041375,0.20030233,0.20842398,0.175020605,0.17735809,0.21069418,0.380290755
"L4",0.14562889,0.11850695,0.120151155,0.113115195,0.14647805,0.08615231,0.02223328,0.0635358,0.071523515,0.120970775,0.083904985,0.116892385,0.198178315
"L5",0,0,0,0,0,0,0,0,0,0,0,0,0
"M6",0.06636209,0.0518245,0.07594131,0.04884841,0.05035445,0.01695236,0.005228005,NA,0.000557,0.0030155,0,0,0
"N1",0.09528356,0.077820505,0.07414918,0.095016575,0.11870489,0.084704375,0.064752705,0.09316342,0.07972639,0.101386295,0.082967245,0.11813431,0.106787825
"N3",NA,NA,0.13358793,0.191953815,0.186541715,0.111343625,0.06377093,0.119102855,0.111951925,0.102064895,0.0901981,0.097675075,0.126518645
"N3A",0.096188975,0.11839112,0.113718545,0.116106915,0.12885906,0.10029172,0.0732276,0.11463869,0.12621663,0.106132465,0.07886294,0.125522335,0.129171815
"N4",0.094655845,0.08584015,0.0746369,0.10341264,0.15859185,0.093056255,NA,NA,0.032422465,0.02938548,0.039186085,0.07046633,0.035720965
"N5",0.075118505,0.059327435,0.03157994,0.05244419,0.096602415,0.043792195,0.034173585,0.043042795,0.075032165,0.055314755,0.051987935,0.10168912,0.05491647
"N6",0.196859005,0.19017238,0.162287165,0.19203616,0.2112025,0.12185333,0.08465307,0.150432015,0.19015892,0.14474094,0.11339388,0.14338663,0.15024216
"P1",0.451207375,0.34154651,0.253658495,0.216960225,0.27382575,0.1844637,0.10287208,0.189000865,0.19822677,NA,0.214623045,0.199671515,0.201409915
"P2",0.424118665,0.422526365,0.314950095,0.342756125,0.36316619,0.347495315,NA,0.3150479,0.28435571,0.249452805,0.264635815,0.2588271,0.289781115
"P3",0.233510215,0.18716733,0.15966319,0.197659915,0.165487655,0.125373235,0.048498515,0.075735095,0.066980325,0.094254425,0.078775305,0.074757875,0.05038784
"P4",0.330799525,0.38818571,0.27802281,0.39887001,0.369441705,0.3280584,0.23362037,0.34296154,0.34835502,0.311227305,0.320707395,0.31581638,0.42449116
"P5",0.14350715,0.100558155,0.059785555,0.116835715,0.135888175,0.165182655,0.1153227,0.2251524,0.24359321,0.27211634,0.254265345,0.223435495,0.12731815
